artist;id;name;nb_fans;nb_album
Adele (75798);75798;Adele;12973223;20
The Raconteurs (1202);1202;The Raconteurs;136672;12
Pete Townshend (5432);5432;Pete Townshend;15901;17
Ashley Monroe (247289);247289;Ashley Monroe;0;0
Ricky Scaggs (62351);62351;Ricky Scaggs;60;1
Rosanne Cash (70088);70088;Rosanne Cash;16400;30
Rodney Crowell (64752);64752;Rodney Crowell;4926;40
the Americans (418571);418571;the Americans;153;15
Ruston Kelly (4419770);4419770;Ruston Kelly;453;14
Tyler Cain (1072296);1072296;Tyler Cain;6;14
Blake Shelton (8638);8638;Blake Shelton;660240;55
Angaleena Presley (1000619);1000619;Angaleena Presley;796;2
Miranda Lambert (5057);5057;Miranda Lambert;263452;36
Pistol Annies (1364566);1364566;Pistol Annies;12509;5
THE JONES GANG (1140594);1140594;THE JONES GANG;24;1
Sam Brown (67687);67687;Sam Brown;3810;38
London Oriana Choir (5640634);5640634;London Oriana Choir;130;7
Robert Ziegler (4455202);4455202;Robert Ziegler;358;15
Royal Philharmonic Orchestra (94226);94226;Royal Philharmonic Orchestra;208189;267
Alfie Boe (242283);242283;Alfie Boe;8576;41
Roger Daltrey (156041);156041;Roger Daltrey;7283;18
The Wild Things (898364);898364;The Wild Things;192;12
London Symphony Orchestra (68382);68382;London Symphony Orchestra;409424;334
Nathan Barr (159534);159534;Nathan Barr;598;16
Vicki Brown (77332);77332;Vicki Brown;155;8
Margo Newman (4568566);4568566;Margo Newman;1;0
Ronnie Lane (110675);110675;Ronnie Lane;0;0
Jean-Michel Jarre (2047);2047;Jean-Michel Jarre;0;0
