source;target;song;id_song;id_source;name_source;id_target;name_target
Adele (75798);The Raconteurs (1202);Many Shades Of Black;2577955;75798;Adele;1202;The Raconteurs
The Raconteurs (1202);Ricky Scaggs (62351);Old Enough (feat. Ricky Scaggs & Ashley Monroe);1466354652;1202;The Raconteurs;62351;Ricky Scaggs
The Raconteurs (1202);Ashley Monroe (247289);Old Enough (feat. Ricky Scaggs & Ashley Monroe);1466354652;1202;The Raconteurs;247289;Ashley Monroe
Ricky Scaggs (62351);Ashley Monroe (247289);Old Enough (feat. Ricky Scaggs & Ashley Monroe);1466354652;62351;Ricky Scaggs;247289;Ashley Monroe
The Raconteurs (1202);Pete Townshend (5432);The Seeker;1856410897;1202;The Raconteurs;5432;Pete Townshend
Jean-Michel Jarre (2047);Pete Townshend (5432);Travelator, Pt. 2;109703658;2047;Jean-Michel Jarre;5432;Pete Townshend
Pete Townshend (5432);Ronnie Lane (110675);My Baby Gives It Away;94755060;5432;Pete Townshend;110675;Ronnie Lane
Pete Townshend (5432);Ronnie Lane (110675);Heart To Hang Onto;94755078;5432;Pete Townshend;110675;Ronnie Lane
Pete Townshend (5432);Margo Newman (4568566);Captain Walker / It's A Boy;7458005;5432;Pete Townshend;4568566;Margo Newman
Pete Townshend (5432);Vicki Brown (77332);Captain Walker / It's A Boy;7458005;5432;Pete Townshend;77332;Vicki Brown
Margo Newman (4568566);Vicki Brown (77332);Captain Walker / It's A Boy;7458005;4568566;Margo Newman;77332;Vicki Brown
Pete Townshend (5432);Ronnie Lane (110675);Street In The City;94755076;5432;Pete Townshend;110675;Ronnie Lane
Nathan Barr (159534);Pete Townshend (5432);It Must Be Done;891189402;159534;Nathan Barr;5432;Pete Townshend
Pete Townshend (5432);Ronnie Lane (110675);Till The Rivers All Run Dry;94755080;5432;Pete Townshend;110675;Ronnie Lane
London Symphony Orchestra (68382);Pete Townshend (5432);Overture;105369614;68382;London Symphony Orchestra;5432;Pete Townshend
Pete Townshend (5432);Ronnie Lane (110675);Misunderstood;94755072;5432;Pete Townshend;110675;Ronnie Lane
The Wild Things (898364);Pete Townshend (5432);Lay On, Take Off;1753153857;898364;The Wild Things;5432;Pete Townshend
Pete Townshend (5432);Ronnie Lane (110675);Keep Me Turning;102198756;5432;Pete Townshend;110675;Ronnie Lane
Pete Townshend (5432);Roger Daltrey (156041);Sally Simpson;7458029;5432;Pete Townshend;156041;Roger Daltrey
Pete Townshend (5432);Ronnie Lane (110675);My Baby Gives It Away;102198752;5432;Pete Townshend;110675;Ronnie Lane
Pete Townshend (5432);Ronnie Lane (110675);Heart To Hang Onto;102198754;5432;Pete Townshend;110675;Ronnie Lane
Pete Townshend (5432);Alfie Boe (242283);Drowned;100478832;5432;Pete Townshend;242283;Alfie Boe
Pete Townshend (5432);Royal Philharmonic Orchestra (94226);Drowned;100478832;5432;Pete Townshend;94226;Royal Philharmonic Orchestra
Pete Townshend (5432);Robert Ziegler (4455202);Drowned;100478832;5432;Pete Townshend;4455202;Robert Ziegler
Pete Townshend (5432);London Oriana Choir (5640634);Drowned;100478832;5432;Pete Townshend;5640634;London Oriana Choir
Alfie Boe (242283);Royal Philharmonic Orchestra (94226);Drowned;100478832;242283;Alfie Boe;94226;Royal Philharmonic Orchestra
Alfie Boe (242283);Robert Ziegler (4455202);Drowned;100478832;242283;Alfie Boe;4455202;Robert Ziegler
Alfie Boe (242283);London Oriana Choir (5640634);Drowned;100478832;242283;Alfie Boe;5640634;London Oriana Choir
Royal Philharmonic Orchestra (94226);Robert Ziegler (4455202);Drowned;100478832;94226;Royal Philharmonic Orchestra;4455202;Robert Ziegler
Royal Philharmonic Orchestra (94226);London Oriana Choir (5640634);Drowned;100478832;94226;Royal Philharmonic Orchestra;5640634;London Oriana Choir
Robert Ziegler (4455202);London Oriana Choir (5640634);Drowned;100478832;4455202;Robert Ziegler;5640634;London Oriana Choir
The Wild Things (898364);Pete Townshend (5432);Only Attraction;1520304922;898364;The Wild Things;5432;Pete Townshend
Pete Townshend (5432);Ronnie Lane (110675);Annie;94755066;5432;Pete Townshend;110675;Ronnie Lane
Pete Townshend (5432);Sam Brown (67687);Heart to Hang Onto (Live);1265210462;5432;Pete Townshend;67687;Sam Brown
Pete Townshend (5432);THE JONES GANG (1140594);Heart to Hang Onto (Live);1265210462;5432;Pete Townshend;1140594;THE JONES GANG
Sam Brown (67687);THE JONES GANG (1140594);Heart to Hang Onto (Live);1265210462;67687;Sam Brown;1140594;THE JONES GANG
Pistol Annies (1364566);Miranda Lambert (5057);Hell on Heels;13430650;1364566;Pistol Annies;5057;Miranda Lambert
Pistol Annies (1364566);Ashley Monroe (247289);Hell on Heels;13430650;1364566;Pistol Annies;247289;Ashley Monroe
Pistol Annies (1364566);Angaleena Presley (1000619);Hell on Heels;13430650;1364566;Pistol Annies;1000619;Angaleena Presley
Miranda Lambert (5057);Ashley Monroe (247289);Hell on Heels;13430650;5057;Miranda Lambert;247289;Ashley Monroe
Miranda Lambert (5057);Angaleena Presley (1000619);Hell on Heels;13430650;5057;Miranda Lambert;1000619;Angaleena Presley
Ashley Monroe (247289);Angaleena Presley (1000619);Hell on Heels;13430650;247289;Ashley Monroe;1000619;Angaleena Presley
Pistol Annies (1364566);Miranda Lambert (5057);I Feel A Sin Comin' On;66789350;1364566;Pistol Annies;5057;Miranda Lambert
Pistol Annies (1364566);Ashley Monroe (247289);I Feel A Sin Comin' On;66789350;1364566;Pistol Annies;247289;Ashley Monroe
Pistol Annies (1364566);Angaleena Presley (1000619);I Feel A Sin Comin' On;66789350;1364566;Pistol Annies;1000619;Angaleena Presley
Miranda Lambert (5057);Ashley Monroe (247289);I Feel A Sin Comin' On;66789350;5057;Miranda Lambert;247289;Ashley Monroe
Miranda Lambert (5057);Angaleena Presley (1000619);I Feel A Sin Comin' On;66789350;5057;Miranda Lambert;1000619;Angaleena Presley
Ashley Monroe (247289);Angaleena Presley (1000619);I Feel A Sin Comin' On;66789350;247289;Ashley Monroe;1000619;Angaleena Presley
Ashley Monroe (247289);Blake Shelton (8638);You Ain't Dolly (And You Ain't Porter) [Duet with Blake Shelton];64398787;247289;Ashley Monroe;8638;Blake Shelton
Ashley Monroe (247289);Tyler Cain (1072296);Love Hurts;1458150742;247289;Ashley Monroe;1072296;Tyler Cain
Ashley Monroe (247289);Ruston Kelly (4419770);Love Hurts;1458150742;247289;Ashley Monroe;4419770;Ruston Kelly
Tyler Cain (1072296);Ruston Kelly (4419770);Love Hurts;1458150742;1072296;Tyler Cain;4419770;Ruston Kelly
Pistol Annies (1364566);Miranda Lambert (5057);Got My Name Changed Back;574330382;1364566;Pistol Annies;5057;Miranda Lambert
Pistol Annies (1364566);Ashley Monroe (247289);Got My Name Changed Back;574330382;1364566;Pistol Annies;247289;Ashley Monroe
Pistol Annies (1364566);Angaleena Presley (1000619);Got My Name Changed Back;574330382;1364566;Pistol Annies;1000619;Angaleena Presley
Miranda Lambert (5057);Ashley Monroe (247289);Got My Name Changed Back;574330382;5057;Miranda Lambert;247289;Ashley Monroe
Miranda Lambert (5057);Angaleena Presley (1000619);Got My Name Changed Back;574330382;5057;Miranda Lambert;1000619;Angaleena Presley
Ashley Monroe (247289);Angaleena Presley (1000619);Got My Name Changed Back;574330382;247289;Ashley Monroe;1000619;Angaleena Presley
Pistol Annies (1364566);Miranda Lambert (5057);Best Years of My Life;574330342;1364566;Pistol Annies;5057;Miranda Lambert
Pistol Annies (1364566);Ashley Monroe (247289);Best Years of My Life;574330342;1364566;Pistol Annies;247289;Ashley Monroe
Pistol Annies (1364566);Angaleena Presley (1000619);Best Years of My Life;574330342;1364566;Pistol Annies;1000619;Angaleena Presley
Miranda Lambert (5057);Ashley Monroe (247289);Best Years of My Life;574330342;5057;Miranda Lambert;247289;Ashley Monroe
Miranda Lambert (5057);Angaleena Presley (1000619);Best Years of My Life;574330342;5057;Miranda Lambert;1000619;Angaleena Presley
Ashley Monroe (247289);Angaleena Presley (1000619);Best Years of My Life;574330342;247289;Ashley Monroe;1000619;Angaleena Presley
Pistol Annies (1364566);Miranda Lambert (5057);I Hope You're The End Of My Story;66789361;1364566;Pistol Annies;5057;Miranda Lambert
Pistol Annies (1364566);Ashley Monroe (247289);I Hope You're The End Of My Story;66789361;1364566;Pistol Annies;247289;Ashley Monroe
Pistol Annies (1364566);Angaleena Presley (1000619);I Hope You're The End Of My Story;66789361;1364566;Pistol Annies;1000619;Angaleena Presley
Miranda Lambert (5057);Ashley Monroe (247289);I Hope You're The End Of My Story;66789361;5057;Miranda Lambert;247289;Ashley Monroe
Miranda Lambert (5057);Angaleena Presley (1000619);I Hope You're The End Of My Story;66789361;5057;Miranda Lambert;1000619;Angaleena Presley
Ashley Monroe (247289);Angaleena Presley (1000619);I Hope You're The End Of My Story;66789361;247289;Ashley Monroe;1000619;Angaleena Presley
Pistol Annies (1364566);Miranda Lambert (5057);Hush Hush;66789351;1364566;Pistol Annies;5057;Miranda Lambert
Pistol Annies (1364566);Ashley Monroe (247289);Hush Hush;66789351;1364566;Pistol Annies;247289;Ashley Monroe
Pistol Annies (1364566);Angaleena Presley (1000619);Hush Hush;66789351;1364566;Pistol Annies;1000619;Angaleena Presley
Miranda Lambert (5057);Ashley Monroe (247289);Hush Hush;66789351;5057;Miranda Lambert;247289;Ashley Monroe
Miranda Lambert (5057);Angaleena Presley (1000619);Hush Hush;66789351;5057;Miranda Lambert;1000619;Angaleena Presley
Ashley Monroe (247289);Angaleena Presley (1000619);Hush Hush;66789351;247289;Ashley Monroe;1000619;Angaleena Presley
Pistol Annies (1364566);Miranda Lambert (5057);Commissary;574330422;1364566;Pistol Annies;5057;Miranda Lambert
Pistol Annies (1364566);Ashley Monroe (247289);Commissary;574330422;1364566;Pistol Annies;247289;Ashley Monroe
Pistol Annies (1364566);Angaleena Presley (1000619);Commissary;574330422;1364566;Pistol Annies;1000619;Angaleena Presley
Miranda Lambert (5057);Ashley Monroe (247289);Commissary;574330422;5057;Miranda Lambert;247289;Ashley Monroe
Miranda Lambert (5057);Angaleena Presley (1000619);Commissary;574330422;5057;Miranda Lambert;1000619;Angaleena Presley
Ashley Monroe (247289);Angaleena Presley (1000619);Commissary;574330422;247289;Ashley Monroe;1000619;Angaleena Presley
Pistol Annies (1364566);Miranda Lambert (5057);Lemon Drop;13430651;1364566;Pistol Annies;5057;Miranda Lambert
Pistol Annies (1364566);Ashley Monroe (247289);Lemon Drop;13430651;1364566;Pistol Annies;247289;Ashley Monroe
Pistol Annies (1364566);Angaleena Presley (1000619);Lemon Drop;13430651;1364566;Pistol Annies;1000619;Angaleena Presley
Miranda Lambert (5057);Ashley Monroe (247289);Lemon Drop;13430651;5057;Miranda Lambert;247289;Ashley Monroe
Miranda Lambert (5057);Angaleena Presley (1000619);Lemon Drop;13430651;5057;Miranda Lambert;1000619;Angaleena Presley
Ashley Monroe (247289);Angaleena Presley (1000619);Lemon Drop;13430651;247289;Ashley Monroe;1000619;Angaleena Presley
Pistol Annies (1364566);Miranda Lambert (5057);Trailer for Rent;13430658;1364566;Pistol Annies;5057;Miranda Lambert
Pistol Annies (1364566);Ashley Monroe (247289);Trailer for Rent;13430658;1364566;Pistol Annies;247289;Ashley Monroe
Pistol Annies (1364566);Angaleena Presley (1000619);Trailer for Rent;13430658;1364566;Pistol Annies;1000619;Angaleena Presley
Miranda Lambert (5057);Ashley Monroe (247289);Trailer for Rent;13430658;5057;Miranda Lambert;247289;Ashley Monroe
Miranda Lambert (5057);Angaleena Presley (1000619);Trailer for Rent;13430658;5057;Miranda Lambert;1000619;Angaleena Presley
Ashley Monroe (247289);Angaleena Presley (1000619);Trailer for Rent;13430658;247289;Ashley Monroe;1000619;Angaleena Presley
Pistol Annies (1364566);Miranda Lambert (5057);Stop Drop and Roll One;574330332;1364566;Pistol Annies;5057;Miranda Lambert
Pistol Annies (1364566);Ashley Monroe (247289);Stop Drop and Roll One;574330332;1364566;Pistol Annies;247289;Ashley Monroe
Pistol Annies (1364566);Angaleena Presley (1000619);Stop Drop and Roll One;574330332;1364566;Pistol Annies;1000619;Angaleena Presley
Miranda Lambert (5057);Ashley Monroe (247289);Stop Drop and Roll One;574330332;5057;Miranda Lambert;247289;Ashley Monroe
Miranda Lambert (5057);Angaleena Presley (1000619);Stop Drop and Roll One;574330332;5057;Miranda Lambert;1000619;Angaleena Presley
Ashley Monroe (247289);Angaleena Presley (1000619);Stop Drop and Roll One;574330332;247289;Ashley Monroe;1000619;Angaleena Presley
Pistol Annies (1364566);Miranda Lambert (5057);This Too Shall Pass;574330462;1364566;Pistol Annies;5057;Miranda Lambert
Pistol Annies (1364566);Ashley Monroe (247289);This Too Shall Pass;574330462;1364566;Pistol Annies;247289;Ashley Monroe
Pistol Annies (1364566);Angaleena Presley (1000619);This Too Shall Pass;574330462;1364566;Pistol Annies;1000619;Angaleena Presley
Miranda Lambert (5057);Ashley Monroe (247289);This Too Shall Pass;574330462;5057;Miranda Lambert;247289;Ashley Monroe
Miranda Lambert (5057);Angaleena Presley (1000619);This Too Shall Pass;574330462;5057;Miranda Lambert;1000619;Angaleena Presley
Ashley Monroe (247289);Angaleena Presley (1000619);This Too Shall Pass;574330462;247289;Ashley Monroe;1000619;Angaleena Presley
Pistol Annies (1364566);Miranda Lambert (5057);Beige;13430652;1364566;Pistol Annies;5057;Miranda Lambert
Pistol Annies (1364566);Ashley Monroe (247289);Beige;13430652;1364566;Pistol Annies;247289;Ashley Monroe
Pistol Annies (1364566);Angaleena Presley (1000619);Beige;13430652;1364566;Pistol Annies;1000619;Angaleena Presley
Miranda Lambert (5057);Ashley Monroe (247289);Beige;13430652;5057;Miranda Lambert;247289;Ashley Monroe
Miranda Lambert (5057);Angaleena Presley (1000619);Beige;13430652;5057;Miranda Lambert;1000619;Angaleena Presley
Ashley Monroe (247289);Angaleena Presley (1000619);Beige;13430652;247289;Ashley Monroe;1000619;Angaleena Presley
Pistol Annies (1364566);Miranda Lambert (5057);Takin' Pills;13430655;1364566;Pistol Annies;5057;Miranda Lambert
Pistol Annies (1364566);Ashley Monroe (247289);Takin' Pills;13430655;1364566;Pistol Annies;247289;Ashley Monroe
Pistol Annies (1364566);Angaleena Presley (1000619);Takin' Pills;13430655;1364566;Pistol Annies;1000619;Angaleena Presley
Miranda Lambert (5057);Ashley Monroe (247289);Takin' Pills;13430655;5057;Miranda Lambert;247289;Ashley Monroe
Miranda Lambert (5057);Angaleena Presley (1000619);Takin' Pills;13430655;5057;Miranda Lambert;1000619;Angaleena Presley
Ashley Monroe (247289);Angaleena Presley (1000619);Takin' Pills;13430655;247289;Ashley Monroe;1000619;Angaleena Presley
Pistol Annies (1364566);Miranda Lambert (5057);The Hunter's Wife;13430657;1364566;Pistol Annies;5057;Miranda Lambert
Pistol Annies (1364566);Ashley Monroe (247289);The Hunter's Wife;13430657;1364566;Pistol Annies;247289;Ashley Monroe
Pistol Annies (1364566);Angaleena Presley (1000619);The Hunter's Wife;13430657;1364566;Pistol Annies;1000619;Angaleena Presley
Miranda Lambert (5057);Ashley Monroe (247289);The Hunter's Wife;13430657;5057;Miranda Lambert;247289;Ashley Monroe
Miranda Lambert (5057);Angaleena Presley (1000619);The Hunter's Wife;13430657;5057;Miranda Lambert;1000619;Angaleena Presley
Ashley Monroe (247289);Angaleena Presley (1000619);The Hunter's Wife;13430657;247289;Ashley Monroe;1000619;Angaleena Presley
Pistol Annies (1364566);Miranda Lambert (5057);When I Was His Wife;574330362;1364566;Pistol Annies;5057;Miranda Lambert
Pistol Annies (1364566);Ashley Monroe (247289);When I Was His Wife;574330362;1364566;Pistol Annies;247289;Ashley Monroe
Pistol Annies (1364566);Angaleena Presley (1000619);When I Was His Wife;574330362;1364566;Pistol Annies;1000619;Angaleena Presley
Miranda Lambert (5057);Ashley Monroe (247289);When I Was His Wife;574330362;5057;Miranda Lambert;247289;Ashley Monroe
Miranda Lambert (5057);Angaleena Presley (1000619);When I Was His Wife;574330362;5057;Miranda Lambert;1000619;Angaleena Presley
Ashley Monroe (247289);Angaleena Presley (1000619);When I Was His Wife;574330362;247289;Ashley Monroe;1000619;Angaleena Presley
Pistol Annies (1364566);Miranda Lambert (5057);Milkman;574330412;1364566;Pistol Annies;5057;Miranda Lambert
Pistol Annies (1364566);Ashley Monroe (247289);Milkman;574330412;1364566;Pistol Annies;247289;Ashley Monroe
Pistol Annies (1364566);Angaleena Presley (1000619);Milkman;574330412;1364566;Pistol Annies;1000619;Angaleena Presley
Miranda Lambert (5057);Ashley Monroe (247289);Milkman;574330412;5057;Miranda Lambert;247289;Ashley Monroe
Miranda Lambert (5057);Angaleena Presley (1000619);Milkman;574330412;5057;Miranda Lambert;1000619;Angaleena Presley
Ashley Monroe (247289);Angaleena Presley (1000619);Milkman;574330412;247289;Ashley Monroe;1000619;Angaleena Presley
Pistol Annies (1364566);Miranda Lambert (5057);5 Acres of Turnips;574330352;1364566;Pistol Annies;5057;Miranda Lambert
Pistol Annies (1364566);Ashley Monroe (247289);5 Acres of Turnips;574330352;1364566;Pistol Annies;247289;Ashley Monroe
Pistol Annies (1364566);Angaleena Presley (1000619);5 Acres of Turnips;574330352;1364566;Pistol Annies;1000619;Angaleena Presley
Miranda Lambert (5057);Ashley Monroe (247289);5 Acres of Turnips;574330352;5057;Miranda Lambert;247289;Ashley Monroe
Miranda Lambert (5057);Angaleena Presley (1000619);5 Acres of Turnips;574330352;5057;Miranda Lambert;1000619;Angaleena Presley
Ashley Monroe (247289);Angaleena Presley (1000619);5 Acres of Turnips;574330352;247289;Ashley Monroe;1000619;Angaleena Presley
Pistol Annies (1364566);Miranda Lambert (5057);Cheyenne;574330372;1364566;Pistol Annies;5057;Miranda Lambert
Pistol Annies (1364566);Ashley Monroe (247289);Cheyenne;574330372;1364566;Pistol Annies;247289;Ashley Monroe
Pistol Annies (1364566);Angaleena Presley (1000619);Cheyenne;574330372;1364566;Pistol Annies;1000619;Angaleena Presley
