artist;id;name;nb_fans;nb_album
David Guetta (542);542;David Guetta;18203204;289
Ava Max (12948083);12948083;Ava Max;855054;71
Faithless (10);10;Faithless;599906;55
Kiiara (9108984);9108984;Kiiara;27860;55
Ester Dean (294642);294642;Ester Dean;8447;11
Bruno Mars (429675);429675;Bruno Mars;10004328;21
Avicii (293585);293585;Avicii;7692804;68
Martin Solveig (2046);2046;Martin Solveig;1589917;81
Master KG (15216967);15216967;Master KG;78061;35
John Legend (313);313;John Legend;3272120;74
Aloe Blacc (10183);10183;Aloe Blacc;231576;69
Taped Rai (4673679);4673679;Taped Rai;1283;0
El Tocadisco (4421309);4421309;El Tocadisco;1454;0
Sonny Wilson (604086);604086;Sonny Wilson;231;13
Magic! (615238);615238;Magic!;523420;21
Tara McDonald (469026);469026;Tara McDonald;28916;53
Gunna (4344192);4344192;Gunna;482136;55
Imanbek (73101792);73101792;Imanbek;42588;49
Rita Ora (1678249);1678249;Rita Ora;2644434;72
Sorana (1651733);1651733;Sorana;3258;17
John Newman (1141019);1141019;John Newman;335234;46
MistaJam (433146);433146;MistaJam;994;31
Snoop Dogg (3);3;Snoop Dogg;6942781;152
Cheat Codes (7358224);7358224;Cheat Codes;162334;93
Lovespeake (9459742);9459742;Lovespeake;417;33
Roland Clark (73868);73868;Roland Clark;6503;224
Romy Dya (13664637);13664637;Romy Dya;137;31
Jamie Scott (135965);135965;Jamie Scott;1629;12
Delilah Montagu (49978322);49978322;Delilah Montagu;476;18
Black Coffee (314870);314870;Black Coffee;215977;34
Willy William (1200692);1200692;Willy William;269820;41
Jason Derulo (249599);249599;Jason Derulo;5290406;95
 (6396188);6396188;;0;0
Cozi (1331430);1331430;Cozi;170;56
Steve Angello (6822);6822;Steve Angello;184845;67
French Montana (367387);367387;French Montana;1084950;146
Charli XCX (1462230);1462230;Charli XCX;1564673;87
Bryson Tiller (7004075);7004075;Bryson Tiller;757945;25
Like Mike (4420429);4420429;Like Mike;43415;56
Natti Natasha (2829671);2829671;Natti Natasha;1167479;51
Afro Bros (1367313);1367313;Afro Bros;26301;57
Dimitri Vegas & Like Mike (262271);262271;Dimitri Vegas & Like Mike;2039378;139
Daddy Yankee (3839);3839;Daddy Yankee;6629837;97
John Martin (126010);126010;John Martin;52115;21
Loote (11312264);11312264;Loote;7533;29
JD Davis (304260);304260;JD Davis;3186;7
Joachim Garraud (188932);188932;Joachim Garraud;101222;57
Taio Cruz (12243);12243;Taio Cruz;2330747;27
Ludacris (78);78;Ludacris;2061726;38
A Boogie Wit da Hoodie (9539088);9539088;A Boogie Wit da Hoodie;348144;66
Ty Dolla $ign (4438587);4438587;Ty Dolla $ign;744612;91
Ne-Yo (104);104;Ne-Yo;3537248;55
Cedric Gervais (261965);261965;Cedric Gervais;636660;100
LMFAO (167225);167225;LMFAO;4174814;6
Fergie (5843);5843;Fergie;1908157;20
Chris Willis (243009);243009;Chris Willis;592994;83
Raye (805948);805948;Raye;304846;46
Joel Corry (8058039);8058039;Joel Corry;71494;94
Becky G (4698748);4698748;Becky G;1641604;79
Sean Paul (88);88;Sean Paul;3431304;89
Brooks (3767);3767;Brooks;41933;39
Martin Garrix (3968561);3968561;Martin Garrix;7212889;119
Lanie Gardner (109873752);109873752;Lanie Gardner;289;0
Sam Ryder (9857934);9857934;Sam Ryder;9756;18
Sigala (5203250);5203250;Sigala;247415;75
VASSY (358583);358583;VASSY;42913;72
Showtek (271922);271922;Showtek;1301979;110
Little Mix (1538640);1538640;Little Mix;3483630;47
Galantis (3265001);3265001;Galantis;1608287;120
 (288166);288166;;0;0
 (1564992);1564992;;0;0
Usher (17);17;Usher;6673129;51
Azteck (85582122);85582122;Azteck;3578;12
Nicole Scherzinger (16891);16891;Nicole Scherzinger;731757;18
Dimitri Vegas (471208);471208;Dimitri Vegas;31224;36
Rihanna) [Single Version (7099443);7099443;Rihanna) [Single Version;340;0
Rihanna (564);564;Rihanna;15315303;51
Sam Martin (4442292);4442292;Sam Martin;6799;28
Nicki Minaj (382937);382937;Nicki Minaj;6688634;60
Afrojack (169361);169361;Afrojack;2078269;180
Farruko (614223);614223;Farruko;3086208;201
Lewis Thompson (4605521);4605521;Lewis Thompson;114;22
Robin Schulz (2005781);2005781;Robin Schulz;1545052;81
J Balvin (4860761);4860761;J Balvin;9867748;135
Benny Benassi (724);724;Benny Benassi;326809;104
Kid Cudi (158706);158706;Kid Cudi;1232099;28
Ella Henderson (5425093);5425093;Ella Henderson;289327;58
Becky Hill (2699221);2699221;Becky Hill;190650;99
Akon (38);38;Akon;4381205;55
Sia (3469);3469;Sia;7609026;95
Shakira (160);160;Shakira;10227320;46
Black Eyed Peas (1020109);1020109;Black Eyed Peas;5399078;59
Bebe Rexha (4492087);4492087;Bebe Rexha;1581780;64
Otto Knows (1671767);1671767;Otto Knows;94102;19
Kranium (565873);565873;Kranium;79089;62
Masked Wolf (13658563);13658563;Masked Wolf;62693;33
YEJI & RYUJIN of ITZY (177391407);177391407;YEJI & RYUJIN of ITZY;120;0
Florida Georgia Line (2144511);2144511;Florida Georgia Line;282366;24
X Ambassadors (4549214);4549214;X Ambassadors;279939;43
Esthero (4369);4369;Esthero;3219;12
CL (193587);193587;CL;125753;13
Prince Lao (90676192);90676192;Prince Lao;25;2
 (52752892);52752892;;0;0
 (274453);274453;;0;0
 (89);89;;0;0
 (1622);1622;;0;0
 (4593010);4593010;;0;0
Static & Ben El Tavori (11347414);11347414;Static & Ben El Tavori;20346;56
Lele Pons (14718485);14718485;Lele Pons;136837;17
J. Rey Soul (90227912);90227912;J. Rey Soul;18171;3
Gustavo Cerati (1374);1374;Gustavo Cerati;528923;26
Residente Calle 13 (1611703);1611703;Residente Calle 13;85123;0
Pablo López (4476566);4476566;Pablo López;65773;21
Manuel Carrasco (81127);81127;Manuel Carrasco;131974;33
Tommy Torres (265756);265756;Tommy Torres;58522;22
Rozalén (4042464);4042464;Rozalén;33775;32
Abel Pintos (447246);447246;Abel Pintos;152720;37
Laura Pausini (1456);1456;Laura Pausini;908521;82
Niña Pastori (11980);11980;Niña Pastori;70365;23
Antonio Orozco (12142);12142;Antonio Orozco;105104;24
India Martinez (281011);281011;India Martinez;122044;29
Vanesa Martín (215272);215272;Vanesa Martín;52876;54
Malú (12890);12890;Malú;166681;32
Antonio Carmona (12876);12876;Antonio Carmona;26570;10
David Bisbal (4990);4990;David Bisbal;706285;47
twocolors (10673381);10673381;twocolors;15856;43
Dizzee Rascal (2388);2388;Dizzee Rascal;261640;34
Alejandro Sanz (4479);4479;Alejandro Sanz;1251505;62
Freshlyground (69586);69586;Freshlyground;9279;14
Arca (54453);54453;Arca;21081;29
Sophie Barker (453877);453877;Sophie Barker;1466;15
Zero 7 (608);608;Zero 7;163467;51
Neneh Cherry (2680);2680;Neneh Cherry;21644;25
Amir (164704);164704;Amir;421954;27
Melymel (4805210);4805210;Melymel;2635;30
Musicologo The Libro (5478446);5478446;Musicologo The Libro;7090;112
Mousik (8201222);8201222;Mousik;2176;60
justin love (1142329);1142329;justin love;877;36
Rotimi (4843532);4843532;Rotimi;26338;25
 (192471);192471;;0;0
 (192469);192469;;0;0
Slowed Radio (143649652);143649652;Slowed Radio;2571;8
xxtristanxo (143649642);143649642;xxtristanxo;2009;5
P Square (296505);296505;P Square;13927;0
Styles P (81070);81070;Styles P;36755;69
DJ SHAAN (67194412);67194412;DJ SHAAN;27;18
Big (270259);270259;Big;471;124
Styles (110728);110728;Styles;12105;88
Taz (133122);133122;Taz;1944;134
Negra Li (314726);314726;Negra Li;97458;24
Ray Lavender (524340);524340;Ray Lavender;276;11
Sweet Rush (1695649);1695649;Sweet Rush;25;0
Devyne (4891290);4891290;Devyne;49;0
Picklehead (4891289);4891289;Picklehead;3;0
Daddy T (504258);504258;Daddy T;12;24
Vybz Kartel (100675);100675;Vybz Kartel;991587;486
Shabba Ranks (71712);71712;Shabba Ranks;86592;43
Sizzla (806);806;Sizzla;362027;371
Booba (390);390;Booba;5094757;72
