artist;id;name;degree
David Guetta (542);542;David Guetta;1
Ava Max (12948083);12948083;Ava Max;2
Faithless (10);10;Faithless;2
Kiiara (9108984);9108984;Kiiara;2
Ester Dean (294642);294642;Ester Dean;2
Bruno Mars (429675);429675;Bruno Mars;2
Avicii (293585);293585;Avicii;2
Martin Solveig (2046);2046;Martin Solveig;2
Master KG (15216967);15216967;Master KG;2
John Legend (313);313;John Legend;2
Aloe Blacc (10183);10183;Aloe Blacc;2
Taped Rai (4673679);4673679;Taped Rai;2
El Tocadisco (4421309);4421309;El Tocadisco;2
Sonny Wilson (604086);604086;Sonny Wilson;2
Magic! (615238);615238;Magic!;2
Tara McDonald (469026);469026;Tara McDonald;2
Gunna (4344192);4344192;Gunna;2
Imanbek (73101792);73101792;Imanbek;2
Rita Ora (1678249);1678249;Rita Ora;2
Sorana (1651733);1651733;Sorana;2
John Newman (1141019);1141019;John Newman;2
MistaJam (433146);433146;MistaJam;2
Snoop Dogg (3);3;Snoop Dogg;2
Cheat Codes (7358224);7358224;Cheat Codes;2
Lovespeake (9459742);9459742;Lovespeake;2
Roland Clark (73868);73868;Roland Clark;2
Romy Dya (13664637);13664637;Romy Dya;2
Jamie Scott (135965);135965;Jamie Scott;2
Delilah Montagu (49978322);49978322;Delilah Montagu;2
Black Coffee (314870);314870;Black Coffee;2
Willy William (1200692);1200692;Willy William;2
Jason Derulo (249599);249599;Jason Derulo;2
 (6396188);6396188;;2
Cozi (1331430);1331430;Cozi;2
Steve Angello (6822);6822;Steve Angello;2
French Montana (367387);367387;French Montana;2
Charli XCX (1462230);1462230;Charli XCX;2
Bryson Tiller (7004075);7004075;Bryson Tiller;2
Like Mike (4420429);4420429;Like Mike;2
Natti Natasha (2829671);2829671;Natti Natasha;2
Afro Bros (1367313);1367313;Afro Bros;2
Dimitri Vegas & Like Mike (262271);262271;Dimitri Vegas & Like Mike;2
Daddy Yankee (3839);3839;Daddy Yankee;2
John Martin (126010);126010;John Martin;2
Loote (11312264);11312264;Loote;2
JD Davis (304260);304260;JD Davis;2
Joachim Garraud (188932);188932;Joachim Garraud;2
Taio Cruz (12243);12243;Taio Cruz;2
Ludacris (78);78;Ludacris;2
A Boogie Wit da Hoodie (9539088);9539088;A Boogie Wit da Hoodie;2
Ty Dolla $ign (4438587);4438587;Ty Dolla $ign;2
Ne-Yo (104);104;Ne-Yo;2
Cedric Gervais (261965);261965;Cedric Gervais;2
LMFAO (167225);167225;LMFAO;2
Fergie (5843);5843;Fergie;2
Chris Willis (243009);243009;Chris Willis;2
Raye (805948);805948;Raye;2
Joel Corry (8058039);8058039;Joel Corry;2
Becky G (4698748);4698748;Becky G;2
Sean Paul (88);88;Sean Paul;2
Brooks (3767);3767;Brooks;2
