source;target;song;id_song;id_source;name_source;id_target;name_target
Taylor Swift (12246);Ed Sheeran (384236);Run (Taylor's Version) (From The Vault);1550966582;12246;Taylor Swift;384236;Ed Sheeran
ZAYN (9761322);Taylor Swift (12246);I Don’t Wanna Live Forever (Fifty Shades Darker);595112162;9761322;ZAYN;12246;Taylor Swift
Taylor Swift (12246);Bon Iver (78668);exile;1031382392;12246;Taylor Swift;78668;Bon Iver
Taylor Swift (12246);Kendrick Lamar (525046);Bad Blood;372049961;12246;Taylor Swift;525046;Kendrick Lamar
Taylor Swift (12246);Brendon Urie (4596428);ME! (feat. Brendon Urie of Panic! At The Disco);671441362;12246;Taylor Swift;4596428;Brendon Urie
Taylor Swift (12246);Ed Sheeran (384236);End Game;435491452;12246;Taylor Swift;384236;Ed Sheeran
Taylor Swift (12246);Future (165930);End Game;435491452;12246;Taylor Swift;165930;Future
Ed Sheeran (384236);Future (165930);End Game;435491452;384236;Ed Sheeran;165930;Future
Taylor Swift (12246);Shawn Mendes (5962948);Lover;804025872;12246;Taylor Swift;5962948;Shawn Mendes
Taylor Swift (12246);Ed Sheeran (384236);Everything Has Changed;529117901;12246;Taylor Swift;384236;Ed Sheeran
Taylor Swift (12246);HAIM (93674);no body, no crime;1199760512;12246;Taylor Swift;93674;HAIM
Taylor Swift (12246);The National (1578);coney island;1199760542;12246;Taylor Swift;1578;The National
Taylor Swift (12246);Phoebe Bridgers (1058631);Nothing New (Taylor's Version) (From The Vault);1550966532;12246;Taylor Swift;1058631;Phoebe Bridgers
Taylor Swift (12246);Gary Lightbody (198661);The Last Time (Taylor's Version);1550966402;12246;Taylor Swift;198661;Gary Lightbody
Taylor Swift (12246);Chris Stapleton (343290);I Bet You Think About Me (Taylor's Version) (From The Vault);1550966562;12246;Taylor Swift;343290;Chris Stapleton
Ed Sheeran (384236);Chris Stapleton (343290);BLOW;707207482;384236;Ed Sheeran;343290;Chris Stapleton
Ed Sheeran (384236);Bruno Mars (429675);BLOW;707207482;384236;Ed Sheeran;429675;Bruno Mars
Chris Stapleton (343290);Bruno Mars (429675);BLOW;707207482;343290;Chris Stapleton;429675;Bruno Mars
Willie Nelson (2947);The Avett Brothers (255818);On The Road Again;1139648532;2947;Willie Nelson;255818;The Avett Brothers
Willie Nelson (2947);Bobby Bare (69519);On The Road Again;1139648532;2947;Willie Nelson;69519;Bobby Bare
Willie Nelson (2947);Chris Stapleton (343290);On The Road Again;1139648532;2947;Willie Nelson;343290;Chris Stapleton
Willie Nelson (2947);Dave Matthews (12202);On The Road Again;1139648532;2947;Willie Nelson;12202;Dave Matthews
Willie Nelson (2947);Emmylou Harris (3545);On The Road Again;1139648532;2947;Willie Nelson;3545;Emmylou Harris
Willie Nelson (2947);Eric Church (243606);On The Road Again;1139648532;2947;Willie Nelson;243606;Eric Church
Willie Nelson (2947);George Strait (5235);On The Road Again;1139648532;2947;Willie Nelson;5235;George Strait
Willie Nelson (2947);Jack Johnson (896);On The Road Again;1139648532;2947;Willie Nelson;896;Jack Johnson
Willie Nelson (2947);Jamey Johnson (144075);On The Road Again;1139648532;2947;Willie Nelson;144075;Jamey Johnson
Willie Nelson (2947);Jimmy Buffett (6076);On The Road Again;1139648532;2947;Willie Nelson;6076;Jimmy Buffett
Willie Nelson (2947);Kris Kristofferson (69521);On The Road Again;1139648532;2947;Willie Nelson;69521;Kris Kristofferson
Willie Nelson (2947);Lee Ann Womack (2313);On The Road Again;1139648532;2947;Willie Nelson;2313;Lee Ann Womack
Willie Nelson (2947);Lukas Nelson (392934);On The Road Again;1139648532;2947;Willie Nelson;392934;Lukas Nelson
Willie Nelson (2947);Lyle Lovett (134009);On The Road Again;1139648532;2947;Willie Nelson;134009;Lyle Lovett
Willie Nelson (2947);Margo Price (9587668);On The Road Again;1139648532;2947;Willie Nelson;9587668;Margo Price
Willie Nelson (2947);Micah Nelson (1675278);On The Road Again;1139648532;2947;Willie Nelson;1675278;Micah Nelson
Willie Nelson (2947);Nathaniel Rateliff (401644);On The Road Again;1139648532;2947;Willie Nelson;401644;Nathaniel Rateliff
Willie Nelson (2947);Norah Jones (810);On The Road Again;1139648532;2947;Willie Nelson;810;Norah Jones
Willie Nelson (2947);The Little Willies (7588);On The Road Again;1139648532;2947;Willie Nelson;7588;The Little Willies
Willie Nelson (2947);Ray Benson (195750);On The Road Again;1139648532;2947;Willie Nelson;195750;Ray Benson
Willie Nelson (2947);Sheryl Crow (1439);On The Road Again;1139648532;2947;Willie Nelson;1439;Sheryl Crow
Willie Nelson (2947);Steve Earle (3091);On The Road Again;1139648532;2947;Willie Nelson;3091;Steve Earle
Willie Nelson (2947);Susan Tedeschi (4091);On The Road Again;1139648532;2947;Willie Nelson;4091;Susan Tedeschi
Willie Nelson (2947);Derek Trucks (410081);On The Road Again;1139648532;2947;Willie Nelson;410081;Derek Trucks
Willie Nelson (2947);Vince Gill (12904);On The Road Again;1139648532;2947;Willie Nelson;12904;Vince Gill
The Avett Brothers (255818);Bobby Bare (69519);On The Road Again;1139648532;255818;The Avett Brothers;69519;Bobby Bare
The Avett Brothers (255818);Chris Stapleton (343290);On The Road Again;1139648532;255818;The Avett Brothers;343290;Chris Stapleton
The Avett Brothers (255818);Dave Matthews (12202);On The Road Again;1139648532;255818;The Avett Brothers;12202;Dave Matthews
The Avett Brothers (255818);Emmylou Harris (3545);On The Road Again;1139648532;255818;The Avett Brothers;3545;Emmylou Harris
The Avett Brothers (255818);Eric Church (243606);On The Road Again;1139648532;255818;The Avett Brothers;243606;Eric Church
The Avett Brothers (255818);George Strait (5235);On The Road Again;1139648532;255818;The Avett Brothers;5235;George Strait
The Avett Brothers (255818);Jack Johnson (896);On The Road Again;1139648532;255818;The Avett Brothers;896;Jack Johnson
The Avett Brothers (255818);Jamey Johnson (144075);On The Road Again;1139648532;255818;The Avett Brothers;144075;Jamey Johnson
The Avett Brothers (255818);Jimmy Buffett (6076);On The Road Again;1139648532;255818;The Avett Brothers;6076;Jimmy Buffett
The Avett Brothers (255818);Kris Kristofferson (69521);On The Road Again;1139648532;255818;The Avett Brothers;69521;Kris Kristofferson
The Avett Brothers (255818);Lee Ann Womack (2313);On The Road Again;1139648532;255818;The Avett Brothers;2313;Lee Ann Womack
The Avett Brothers (255818);Lukas Nelson (392934);On The Road Again;1139648532;255818;The Avett Brothers;392934;Lukas Nelson
The Avett Brothers (255818);Lyle Lovett (134009);On The Road Again;1139648532;255818;The Avett Brothers;134009;Lyle Lovett
The Avett Brothers (255818);Margo Price (9587668);On The Road Again;1139648532;255818;The Avett Brothers;9587668;Margo Price
The Avett Brothers (255818);Micah Nelson (1675278);On The Road Again;1139648532;255818;The Avett Brothers;1675278;Micah Nelson
The Avett Brothers (255818);Nathaniel Rateliff (401644);On The Road Again;1139648532;255818;The Avett Brothers;401644;Nathaniel Rateliff
The Avett Brothers (255818);Norah Jones (810);On The Road Again;1139648532;255818;The Avett Brothers;810;Norah Jones
The Avett Brothers (255818);The Little Willies (7588);On The Road Again;1139648532;255818;The Avett Brothers;7588;The Little Willies
The Avett Brothers (255818);Ray Benson (195750);On The Road Again;1139648532;255818;The Avett Brothers;195750;Ray Benson
The Avett Brothers (255818);Sheryl Crow (1439);On The Road Again;1139648532;255818;The Avett Brothers;1439;Sheryl Crow
The Avett Brothers (255818);Steve Earle (3091);On The Road Again;1139648532;255818;The Avett Brothers;3091;Steve Earle
The Avett Brothers (255818);Susan Tedeschi (4091);On The Road Again;1139648532;255818;The Avett Brothers;4091;Susan Tedeschi
The Avett Brothers (255818);Derek Trucks (410081);On The Road Again;1139648532;255818;The Avett Brothers;410081;Derek Trucks
The Avett Brothers (255818);Vince Gill (12904);On The Road Again;1139648532;255818;The Avett Brothers;12904;Vince Gill
Bobby Bare (69519);Chris Stapleton (343290);On The Road Again;1139648532;69519;Bobby Bare;343290;Chris Stapleton
Bobby Bare (69519);Dave Matthews (12202);On The Road Again;1139648532;69519;Bobby Bare;12202;Dave Matthews
Bobby Bare (69519);Emmylou Harris (3545);On The Road Again;1139648532;69519;Bobby Bare;3545;Emmylou Harris
Bobby Bare (69519);Eric Church (243606);On The Road Again;1139648532;69519;Bobby Bare;243606;Eric Church
Bobby Bare (69519);George Strait (5235);On The Road Again;1139648532;69519;Bobby Bare;5235;George Strait
Bobby Bare (69519);Jack Johnson (896);On The Road Again;1139648532;69519;Bobby Bare;896;Jack Johnson
