artist;id;name;degree
Taylor Swift (12246);12246;Taylor Swift;1
Chris Stapleton (343290);343290;Chris Stapleton;2
Gary Lightbody (198661);198661;Gary Lightbody;2
Phoebe Bridgers (1058631);1058631;Phoebe Bridgers;2
The National (1578);1578;The National;2
HAIM (93674);93674;HAIM;2
Shawn Mendes (5962948);5962948;Shawn Mendes;2
Future (165930);165930;Future;2
Brendon Urie (4596428);4596428;Brendon Urie;2
Kendrick Lamar (525046);525046;Kendrick Lamar;2
Bon Iver (78668);78668;Bon Iver;2
ZAYN (9761322);9761322;ZAYN;2
Ed Sheeran (384236);384236;Ed Sheeran;2
Chefin (141995332);141995332;Chefin;3
Dave (60142422);60142422;Dave;3
Антитіла (5337130);5337130;Антитіла;3
Denise Chaila (58029432);58029432;Denise Chaila;3
Aitch (507896);507896;Aitch;3
Andrea Bocelli (3201);3201;Andrea Bocelli;3
Ella Mai (11116250);11116250;Ella Mai;3
Zion (17046);17046;Zion;3
Lennox (105778);105778;Lennox;3
Central Cee (12096038);12096038;Central Cee;3
Tion Wayne (8686994);8686994;Tion Wayne;3
PnB Rock (8274374);8274374;PnB Rock;3
Chance the Rapper (4400138);4400138;Chance the Rapper;3
Paulo Londra (12637039);12637039;Paulo Londra;3
Stormzy (4841158);4841158;Stormzy;3
Papoose (7320);7320;Papoose;3
Big Narstie (4737300);4737300;Big Narstie;3
Yebba (2830461);2830461;Yebba;3
Leto (455796);455796;Leto;3
Elton John (413);413;Elton John;3
Bring Me the Horizon (12874);12874;Bring Me the Horizon;3
Cardi B (9064930);9064930;Cardi B;3
Russ (616943);616943;Russ;3
Fireboy Dml (15190997);15190997;Fireboy Dml;3
Vianney (5835993);5835993;Vianney;3
LUCA LUSH (8910572);8910572;LUCA LUSH;3
Jay Kolk (13859793);13859793;Jay Kolk;3
Another October (3164781);3164781;Another October;3
Lil Wayne (74309);74309;Lil Wayne;3
Sia Andrew Lambrou (14027479);14027479;Sia Andrew Lambrou;3
Joel Corry (8058039);8058039;Joel Corry;3
Grandmaster Flash (66946);66946;Grandmaster Flash;3
Teddy Pendergrass (10808);10808;Teddy Pendergrass;3
Timbaland (9662);9662;Timbaland;3
Devlin (390742);390742;Devlin;3
Syd (765803);765803;Syd;3
